Position,Team,Played,GD,Points
 1 ,  Tottenham  , 11 , +14 , 24 
 2 ,  Liverpool  , 11 , +9 , 24 
 3 ,  Chelsea  , 11 , +14 , 22 
 4 ,  Leicester  , 11 , +6 , 21 
 5 ,  Southampton  , 11 , +4 , 20 
 6 ,  Man Utd  , 10 , +2 , 19 
 7 ,  Man City  , 10 , +6 , 18 
 8 ,  West Ham  , 11 , +4 , 17 
 9 ,  Everton  , 11 , +2 , 17 
 10 ,  Wolverhampton  , 11 , -4 , 17 
 11 ,  Crystal Palace  , 11 , +1 , 16 
 12 ,  Aston Villa  , 9 , +7 , 15 
 13 ,  Newcastle  , 10 , -3 , 14 
 14 ,  Leeds  , 11 , -4 , 14 
 15 ,  Arsenal  , 11 , -4 , 13 
 16 ,  Brighton  , 11 , -3 , 10 
 17 ,  Fulham  , 11 , -10 , 7 
 18 ,  Burnley  , 10 , -13 , 6 
 19 ,  West Bromwich  , 11 , -15 , 6 
 20 ,  Sheff Utd  , 11 , -13 , 1 
